Date,Open,High,Low,Close,Volume,Currency
2021-01-05,48.35537338256836,49.48297882080078,44.472164154052734,47.17770767211914,15347441.0,USD
2021-01-06,47.17653274536133,55.63671875,46.809261322021484,55.0316276550293,25696370.0,USD
2021-01-07,55.03847885131836,59.00893783569336,52.35946273803711,58.12528610229492,30285802.0,USD
2021-01-08,58.113983154296875,70.22876739501953,54.55039596557617,64.0050048828125,44154279.0,USD
2021-01-09,63.996028900146484,66.46998596191406,59.30876922607422,60.15388488769531,23366809.0,USD
2021-01-10,60.167083740234375,62.679378509521484,52.86642837524414,55.65888977050781,19264915.0,USD
2021-01-11,55.63386917114258,55.63386917114258,44.50740432739258,53.207679748535156,47507286.0,USD
2021-01-12,53.21668243408203,53.70699691772461,47.25310134887695,48.42107391357422,22461139.0,USD
2021-01-13,48.45286178588867,55.23360061645508,46.128902435302734,55.23360061645508,26420474.0,USD
2021-01-14,55.24991989135742,58.586978912353516,53.64335632324219,58.586978912353516,23801169.0,USD
2021-01-15,58.57571792602539,60.868892669677734,52.2126350402832,57.65024948120117,24019145.0,USD
2021-01-16,57.63855743408203,60.50558090209961,56.55556106567383,57.13316345214844,18560037.0,USD
2021-01-17,57.09295654296875,57.82483673095703,53.81395721435547,56.575496673583984,13026398.0,USD
2021-01-18,56.57011795043945,57.265907287597656,54.691184997558594,55.36351776123047,11301809.0,USD
2021-01-19,55.36473083496094,57.079345703125,54.056941986083984,56.90045928955078,15018623.0,USD
2021-01-20,56.85057067871094,59.6246337890625,53.814273834228516,57.841331481933594,21336815.0,USD
2021-01-21,57.84306335449219,57.916412353515625,47.95560073852539,48.58853530883789,15999502.0,USD
2021-01-22,48.58330535888672,53.833770751953125,45.89583206176758,51.798709869384766,21345027.0,USD
2021-01-23,51.80900573730469,53.00286865234375,50.3701171875,50.59523010253906,10184497.0,USD
2021-01-24,50.591251373291016,51.67702102661133,49.028953552246094,50.070030212402344,11152087.0,USD
2021-01-25,50.07010269165039,58.84124755859375,50.07010269165039,58.25967025756836,25893399.0,USD
2021-01-26,58.219669342041016,60.724143981933594,54.242000579833984,57.68339538574219,25013280.0,USD
2021-01-27,57.683738708496094,60.97157287597656,51.13169860839844,60.32329177856445,27379052.0,USD
2021-01-28,60.34968185424805,61.08255386352539,57.16047668457031,58.44097900390625,29629366.0,USD
2021-01-29,58.80210494995117,68.06036376953125,56.53431701660156,66.71905517578125,36017215.0,USD
2021-01-30,66.7288818359375,69.05941772460938,62.26268768310547,62.646766662597656,17650866.0,USD
2021-01-31,62.644683837890625,68.28726959228516,61.73984146118164,66.28850555419922,19528454.0,USD
2021-02-01,66.25690460205078,67.22520446777344,64.57212829589844,66.87501525878906,15123340.0,USD
2021-02-02,66.87159729003906,69.10592651367188,66.05147552490234,67.26810455322266,16154444.0,USD
2021-02-03,67.26713562011719,79.5142822265625,67.2304916381836,79.5010757446289,28698565.0,USD
2021-02-04,79.52639770507812,85.14987182617188,74.144775390625,76.69556427001953,37307958.0,USD
2021-02-05,76.72252655029297,79.6402587890625,75.41861724853516,77.49585723876953,16917160.0,USD
2021-02-06,77.52350616455078,94.59598541259766,75.835205078125,86.76464080810547,61043291.0,USD
2021-02-07,86.75896453857422,87.79312896728516,80.11817932128906,81.81444549560547,24328215.0,USD
2021-02-08,81.80254364013672,102.62017822265625,80.21222686767578,98.31680297851562,46567625.0,USD
2021-02-09,98.20179748535156,101.24859619140625,94.7078628540039,98.24909973144531,33299232.0,USD
2021-02-10,98.25286865234375,104.59473419189453,90.31233978271484,103.54866790771484,38641324.0,USD
2021-02-11,103.49918365478516,109.50322723388672,102.83755493164062,106.77149963378906,82683974.0,USD
2021-02-12,107.24574279785156,112.03440856933594,102.46448516845703,107.82408142089844,66919370.0,USD
2021-02-13,107.83440399169922,120.41766357421875,107.5546875,113.69097137451172,39621480.0,USD
2021-02-14,113.74783325195312,115.78346252441406,110.13748931884766,113.2994155883789,21260966.0,USD
2021-02-15,113.25481414794922,117.20138549804688,105.49726104736328,115.41301727294922,31007511.0,USD
2021-02-16,115.49484252929688,134.38328552246094,113.75601959228516,133.42410278320312,57361277.0,USD
2021-02-17,133.5373077392578,142.7044219970703,123.30956268310547,141.7124786376953,71127614.0,USD
2021-02-18,141.71231079101562,146.25364685058594,134.6842041015625,138.61289978027344,45486481.0,USD
2021-02-19,138.55029296875,144.41976928710938,130.81817626953125,144.41976928710938,48174946.0,USD
2021-02-20,144.434326171875,162.4351806640625,141.62249755859375,149.11578369140625,103176783.0,USD
2021-02-21,149.26487731933594,170.6377410888672,148.1470184326172,162.80328369140625,75296296.0,USD
2021-02-22,162.85757446289062,163.86660766601562,133.19544982910156,157.0630340576172,59125737.0,USD
2021-02-23,157.06556701660156,157.1269073486328,122.09163665771484,140.41552734375,65093205.0,USD
2021-02-24,140.4267578125,148.11207580566406,136.23291015625,144.22337341308594,34569127.0,USD
2021-02-25,144.28268432617188,148.58470153808594,140.10348510742188,141.69615173339844,38560884.0,USD
2021-02-26,141.81419372558594,142.77029418945312,121.00007629394531,126.4498519897461,58454711.0,USD
2021-02-27,126.6108627319336,141.4127655029297,126.5279769897461,135.92263793945312,38144811.0,USD
2021-02-28,135.50706481933594,138.6629180908203,126.18714141845703,133.11019897460938,32297747.0,USD
2021-03-01,133.2988739013672,148.9744415283203,133.2988739013672,148.94158935546875,34354215.0,USD
2021-03-02,148.98269653320312,150.36355590820312,141.51649475097656,144.77304077148438,26001722.0,USD
2021-03-03,144.8291015625,153.42710876464844,143.28549194335938,149.006591796875,28193619.0,USD
2021-03-04,148.90298461914062,152.6713409423828,141.0413360595703,143.8981475830078,24039608.0,USD
2021-03-05,143.83177185058594,147.31158447265625,137.9027862548828,146.1425323486328,18704718.0,USD
2021-03-06,146.08897399902344,151.20655822753906,143.76585388183594,150.71961975097656,33645915.0,USD
2021-03-07,150.6245574951172,155.9305877685547,148.93832397460938,154.04598999023438,30532840.0,USD
