Date,Open,High,Low,Close,Volume,Currency
2020-03-30,0.01002,0.01108,0.01001,0.01068,316186560,USD
2020-03-31,0.01068,0.01122,0.01066,0.01097,234200352,USD
2020-04-01,0.01097,0.01137,0.0105,0.01121,432569536,USD
2020-04-02,0.01121,0.01212,0.01116,0.01153,506792992,USD
2020-04-03,0.01153,0.01197,0.01123,0.01158,281539808,USD
2020-04-04,0.01158,0.01191,0.01137,0.0117,258998592,USD
2020-04-05,0.0117,0.01174,0.0113,0.01142,228710560,USD
2020-04-06,0.01142,0.01358,0.0114,0.01352,996333568,USD
2020-04-07,0.01352,0.01396,0.01267,0.01294,969488512,USD
2020-04-08,0.01294,0.01392,0.01275,0.01373,601983168,USD
2020-04-09,0.01373,0.01399,0.01309,0.0135,500911936,USD
2020-04-10,0.0135,0.01351,0.01154,0.012,597741952,USD
2020-04-11,0.012,0.0126,0.01183,0.01222,386591136,USD
2020-04-12,0.01222,0.01293,0.01187,0.0122,350461920,USD
2020-04-13,0.0122,0.0122,0.01154,0.01199,383609792,USD
2020-04-14,0.01199,0.01248,0.01176,0.01208,257904416,USD
2020-04-15,0.01208,0.01226,0.01159,0.01164,183675344,USD
2020-04-16,0.01164,0.01279,0.01124,0.0126,336211072,USD
2020-04-17,0.0126,0.01305,0.01244,0.01274,236873376,USD
2020-04-18,0.01274,0.01352,0.01274,0.01338,263831136,USD
2020-04-19,0.01338,0.01358,0.01276,0.01287,324937120,USD
2020-04-20,0.01287,0.01333,0.01179,0.01201,392353888,USD
2020-04-21,0.01201,0.01227,0.01172,0.01198,278879552,USD
2020-04-22,0.01198,0.0128,0.01194,0.01278,208659952,USD
2020-04-23,0.01278,0.01494,0.01247,0.01428,659001664,USD
2020-04-24,0.01428,0.01575,0.01428,0.01467,678421760,USD
2020-04-25,0.01467,0.01547,0.0144,0.01506,347194976,USD
2020-04-26,0.01506,0.01604,0.015,0.01561,404294304,USD
2020-04-27,0.01561,0.01598,0.01478,0.01543,359979968,USD
2020-04-28,0.01543,0.01578,0.01496,0.01569,265041088,USD
2020-04-29,0.01569,0.01687,0.01552,0.01642,624549568,USD
2020-04-30,0.01642,0.01663,0.01532,0.01543,619824128,USD
2020-05-01,0.01543,0.01636,0.01542,0.01587,276651424,USD
2020-05-02,0.01587,0.01721,0.01577,0.01691,355902912,USD
2020-05-03,0.01691,0.018,0.01656,0.01711,586358528,USD
2020-05-04,0.01711,0.01739,0.0157,0.01697,558521664,USD
2020-05-05,0.01697,0.01717,0.01644,0.01697,271579904,USD
2020-05-06,0.01697,0.01815,0.01672,0.01703,444350144,USD
2020-05-07,0.01703,0.01788,0.01675,0.0174,443674336,USD
2020-05-08,0.0174,0.01849,0.01709,0.01785,393905472,USD
2020-05-09,0.01785,0.01841,0.01721,0.01722,323380512,USD
2020-05-10,0.01722,0.01723,0.01385,0.01539,896590464,USD
2020-05-11,0.01539,0.01555,0.01386,0.01507,628225216,USD
2020-05-12,0.01501,0.01816,0.01489,0.01725,795298112,USD
2020-05-13,0.01725,0.02039,0.01714,0.02018,945989120,USD
2020-05-14,0.02018,0.02163,0.01962,0.02004,1127658496,USD
2020-05-15,0.02014,0.02082,0.01884,0.01921,638447552,USD
2020-05-16,0.01921,0.02089,0.01865,0.01999,599944896,USD
2020-05-17,0.01999,0.02089,0.0199,0.02025,333834880,USD
2020-05-18,0.02025,0.02121,0.02024,0.02064,361979136,USD
2020-05-19,0.02064,0.02285,0.0202,0.02225,700175488,USD
2020-05-20,0.02225,0.02239,0.01966,0.02084,663440896,USD
2020-05-21,0.02084,0.02097,0.0182,0.01917,731560192,USD
2020-05-22,0.01919,0.02104,0.01893,0.02039,447867456,USD
2020-05-23,0.02039,0.02071,0.01968,0.02009,304221472,USD
2020-05-24,0.02009,0.02172,0.01931,0.01931,603265280,USD
2020-05-25,0.01931,0.02161,0.01912,0.02131,465220736,USD
2020-05-26,0.02131,0.02682,0.02118,0.02581,1258556928,USD
2020-05-27,0.02581,0.02644,0.02372,0.02437,1237075456,USD
2020-05-28,0.0244,0.02663,0.02383,0.02514,707923200,USD
2020-05-29,0.02517,0.02688,0.02483,0.02588,611401600,USD
2020-05-30,0.02588,0.02589,0.02327,0.0241,700136704,USD
2020-05-31,0.02412,0.02483,0.01967,0.0205,1234499200,USD
2020-06-01,0.0205,0.02266,0.02032,0.02174,908164416,USD
2020-06-02,0.02174,0.02248,0.01984,0.02082,768291200,USD
2020-06-03,0.02082,0.02192,0.02029,0.02164,405847712,USD
2020-06-04,0.02164,0.02212,0.02062,0.02172,474646176,USD
2020-06-05,0.02172,0.02193,0.02025,0.02061,385222624,USD
2020-06-06,0.02061,0.0209,0.02016,0.02067,269114304,USD
2020-06-07,0.02067,0.02076,0.01963,0.02031,332017152,USD
2020-06-08,0.02031,0.0207,0.02016,0.02032,183108880,USD
2020-06-09,0.02032,0.02045,0.02002,0.02015,154340960,USD
2020-06-10,0.02015,0.02188,0.02012,0.02128,538927808,USD
2020-06-11,0.02128,0.02196,0.01931,0.01968,471539520,USD
2020-06-12,0.01968,0.02054,0.01952,0.02045,221111424,USD
2020-06-13,0.02045,0.02074,0.02035,0.02066,175670672,USD
2020-06-14,0.02066,0.02138,0.02033,0.02056,311726720,USD
2020-06-15,0.02059,0.0206,0.01887,0.02038,374373856,USD
2020-06-16,0.02038,0.02081,0.02002,0.0206,211141920,USD
2020-06-17,0.0206,0.02132,0.0201,0.02073,281029824,USD
2020-06-18,0.02073,0.02077,0.02014,0.02042,183181312,USD
2020-06-19,0.02042,0.02079,0.01986,0.02022,197279808,USD
2020-06-20,0.02022,0.02265,0.0202,0.02265,507473504,USD
2020-06-21,0.02265,0.02298,0.02124,0.02137,473472128,USD
