Date,Open,High,Low,Close,Volume,Currency,Name
2020-01-20,1.0007,1.0024,1.0006,1.0015,20237882,USD,usd coin
2020-01-21,1.0015,1.0029,1.0012,1.0016,19077736,USD,usd coin
2020-01-22,1.0016,1.0039,1.0012,1.003,14239953,USD,usd coin
2020-01-23,1.003,1.0042,1.0016,1.0026,17868652,USD,usd coin
2020-01-24,1.0026,1.003,1.0012,1.002,15506620,USD,usd coin
2020-01-25,1.002,1.0048,1.0017,1.0024,14983055,USD,usd coin
2020-01-26,1.0024,1.0033,1.0013,1.0021,16197663,USD,usd coin
2020-01-27,1.0021,1.0034,1.0012,1.0018,19255544,USD,usd coin
2020-01-28,1.0018,1.0028,0.9995,0.9997,31672196,USD,usd coin
2020-01-29,0.9997,1.0028,0.9997,1.0018,21200596,USD,usd coin
2020-01-30,1.0018,1.0031,1.0007,1.0013,21880814,USD,usd coin
2020-01-31,1.0014,1.0029,1.0013,1.0017,22560588,USD,usd coin
2020-02-01,1.0017,1.0019,1.0005,1.0011,22368792,USD,usd coin
2020-02-02,1.0011,1.0021,1.0001,1.0015,21558670,USD,usd coin
2020-02-03,1.0015,1.003,0.9997,1.0017,24030132,USD,usd coin
2020-02-04,1.0017,1.0038,1.0017,1.0034,27981920,USD,usd coin
2020-02-05,1.0034,1.0036,0.9987,1.0003,36729264,USD,usd coin
2020-02-06,1.0003,1.0024,0.9997,1.0021,33936768,USD,usd coin
2020-02-07,1.0022,1.0027,1.0011,1.0014,22259414,USD,usd coin
2020-02-08,1.0014,1.002,0.9989,0.9994,15353194,USD,usd coin
2020-02-09,0.9994,1.0008,0.9981,0.9992,25767264,USD,usd coin
2020-02-10,0.9992,1.0013,0.9985,1.0003,29854718,USD,usd coin
2020-02-11,1.0003,1.0009,0.9953,0.9958,31219600,USD,usd coin
2020-02-12,0.9958,0.9998,0.9952,0.9978,24183852,USD,usd coin
2020-02-13,0.9978,1.0018,0.9971,1.0002,25317900,USD,usd coin
2020-02-14,1.0002,1.0018,0.998,0.998,31825638,USD,usd coin
2020-02-15,0.998,1.002,0.9976,0.9999,26822792,USD,usd coin
2020-02-16,0.9999,1.0007,0.9983,0.9997,23439484,USD,usd coin
2020-02-17,0.9997,1.0005,0.997,0.9994,21341878,USD,usd coin
2020-02-18,0.9994,0.9999,0.9969,0.9976,32284348,USD,usd coin
2020-02-19,0.9976,1.0108,0.9969,0.9996,29218388,USD,usd coin
2020-02-20,0.9996,1.0013,0.9992,0.9994,38356260,USD,usd coin
2020-02-21,0.9994,0.9998,0.9984,0.9985,29697536,USD,usd coin
2020-02-22,0.9985,0.9999,0.9979,0.9985,15637361,USD,usd coin
2020-02-23,0.9985,0.9986,0.9967,0.9972,21903750,USD,usd coin
2020-02-24,0.9972,1.0012,0.9968,1.0003,23692292,USD,usd coin
2020-02-25,1.0003,1.0015,0.9994,1.001,26434832,USD,usd coin
2020-02-26,1.001,1.0025,1.0003,1.0007,36218708,USD,usd coin
2020-02-27,1.0007,1.0013,0.9993,1.0005,25688584,USD,usd coin
2020-02-28,1.0006,1.0016,0.9981,0.9983,20763608,USD,usd coin
2020-02-29,0.9983,1.0003,0.9981,1.0,19604208,USD,usd coin
